,DISTRICT,UPAZILA,STATION_ID,STATION_NAME,DATE,RAIN_FALL(mm),LATITUDE,LONGITUDE,WATER_LEVEL(m)
0,Bandarban,Lama,CL317,Lama,01-jan-2017,0.0,21.81,92.19,6.22
1,Bandarban,Lama,CL317,Lama,02-jan-2017,0.0,21.81,92.19,6.22
2,Bandarban,Lama,CL317,Lama,03-jan-2017,0.0,21.81,92.19,6.22
3,Bandarban,Lama,CL317,Lama,04-jan-2017,0.0,21.81,92.19,6.21
4,Bandarban,Lama,CL317,Lama,05-jan-2017,0.0,21.81,92.19,6.21
5,Bandarban,Lama,CL317,Lama,06-jan-2017,0.0,21.81,92.19,6.21
6,Bandarban,Lama,CL317,Lama,07-jan-2017,0.0,21.81,92.19,6.21
7,Bandarban,Lama,CL317,Lama,08-jan-2017,0.0,21.81,92.19,6.21
8,Bandarban,Lama,CL317,Lama,09-jan-2017,0.0,21.81,92.19,6.2
9,Bandarban,Lama,CL317,Lama,10-jan-2017,0.0,21.81,92.19,6.2
10,Bandarban,Lama,CL317,Lama,11-jan-2017,0.0,21.81,92.19,6.2
11,Bandarban,Lama,CL317,Lama,12-jan-2017,0.0,21.81,92.19,6.2
12,Bandarban,Lama,CL317,Lama,13-jan-2017,0.0,21.81,92.19,6.2
13,Bandarban,Lama,CL317,Lama,14-jan-2017,0.0,21.81,92.19,6.2
14,Bandarban,Lama,CL317,Lama,15-jan-2017,0.0,21.81,92.19,6.19
15,Bandarban,Lama,CL317,Lama,16-jan-2017,0.0,21.81,92.19,6.19
16,Bandarban,Lama,CL317,Lama,17-jan-2017,0.0,21.81,92.19,6.19
17,Bandarban,Lama,CL317,Lama,18-jan-2017,0.0,21.81,92.19,6.19
18,Bandarban,Lama,CL317,Lama,19-jan-2017,0.0,21.81,92.19,6.19
19,Bandarban,Lama,CL317,Lama,20-jan-2017,0.0,21.81,92.19,6.19
20,Bandarban,Lama,CL317,Lama,21-jan-2017,0.0,21.81,92.19,6.19
21,Bandarban,Lama,CL317,Lama,22-jan-2017,0.0,21.81,92.19,6.18
22,Bandarban,Lama,CL317,Lama,23-jan-2017,0.0,21.81,92.19,6.18
23,Bandarban,Lama,CL317,Lama,24-jan-2017,0.0,21.81,92.19,6.184
24,Bandarban,Lama,CL317,Lama,25-jan-2017,0.0,21.81,92.19,6.292
25,Bandarban,Lama,CL317,Lama,26-jan-2017,0.0,21.81,92.19,6.29
26,Bandarban,Lama,CL317,Lama,27-jan-2017,0.0,21.81,92.19,6.29
27,Bandarban,Lama,CL317,Lama,28-jan-2017,0.0,21.81,92.19,6.29
28,Bandarban,Lama,CL317,Lama,29-jan-2017,0.0,21.81,92.19,6.29
29,Bandarban,Lama,CL317,Lama,30-jan-2017,0.0,21.81,92.19,6.29
30,Bandarban,Lama,CL317,Lama,31-jan-2017,0.0,21.81,92.19,6.28
